,size,stars,url
0,216813,925,https://api.github.com/repos/codenameone/CodenameOne
0,108850,15867,https://api.github.com/repos/google/ExoPlayer
0,21969,3946,https://api.github.com/repos/firebase/FirebaseUI-Android
0,4563,13276,https://api.github.com/repos/brettwooldridge/HikariCP
0,9695,19931,https://api.github.com/repos/Netflix/Hystrix
0,21594,31175,https://api.github.com/repos/PhilJay/MPAndroidChart
0,8139,589,https://api.github.com/repos/mozilla/MozStumbler
0,377009,7454,https://api.github.com/repos/OpenRefine/OpenRefine
0,10634,112,https://api.github.com/repos/OrienteerBAP/Orienteer
0,115314,43028,https://api.github.com/repos/ReactiveX/RxJava
0,15241,294,https://api.github.com/repos/MenoData/Time4J
0,272541,1081,https://api.github.com/repos/haraldk/TwelveMonkeys
0,83995,2607,https://api.github.com/repos/line/armeria
0,18128,5462,https://api.github.com/repos/AsyncHttpClient/async-http-client
0,58522,133,https://api.github.com/repos/Azure/azure-iot-sdk-java
0,96650,135,https://api.github.com/repos/microsoft/azure-tools-for-java
0,709520,14979,https://api.github.com/repos/bazelbuild/bazel
0,51859,977,https://api.github.com/repos/apache/bookkeeper
0,1414545,7430,https://api.github.com/repos/facebook/buck
0,671760,1040,https://api.github.com/repos/google/caja
0,86268,57,https://api.github.com/repos/eclipse/ceylon-ide-eclipse
0,398526,1880,https://api.github.com/repos/nextcloud/android
0,216431,769,https://api.github.com/repos/aws-amplify/aws-sdk-android
0,154161,2893,https://api.github.com/repos/eclipse/jetty.project
0,77372,155,https://api.github.com/repos/eclipse/vorto
0,177677,30,https://api.github.com/repos/eclipse/ice
0,9480,32,https://api.github.com/repos/eclipse/reddeer
0,119314,6157,https://api.github.com/repos/eclipse/che
0,72258,5383,https://api.github.com/repos/checkstyle/checkstyle
0,162936,5561,https://api.github.com/repos/google/closure-compiler
0,35988,1118,https://api.github.com/repos/aol/cyclops
0,635241,11702,https://api.github.com/repos/eclipse/deeplearning4j
0,213000,9811,https://api.github.com/repos/apache/druid
0,10268,754,https://api.github.com/repos/eclipse/eclipse.jdt.ls
0,710263,49845,https://api.github.com/repos/elastic/elasticsearch
0,281040,1376,https://api.github.com/repos/BroadleafCommerce/BroadleafCommerce
0,91250,5062,https://api.github.com/repos/thinkaurelius/titan
0,241375,4169,https://api.github.com/repos/orientechnologies/orientdb
0,63098,8046,https://api.github.com/repos/antlr/antlr4
0,499285,7920,https://api.github.com/repos/neo4j/neo4j
0,578578,4021,https://api.github.com/repos/junit-team/junit5
0,10119,4036,https://api.github.com/repos/jankotek/mapdb
0,19258,90,https://api.github.com/repos/eclipse/elk
0,646372,274,https://api.github.com/repos/eXist-db/exist
0,24742,1129,https://api.github.com/repos/flutter/flutter-intellij
0,70834,16239,https://api.github.com/repos/facebook/fresco
0,56754,16393,https://api.github.com/repos/jhipster/generator-jhipster
0,13675,73,https://api.github.com/repos/GoogleCloudPlatform/google-cloud-eclipse
0,140940,12910,https://api.github.com/repos/oracle/graal
0,108994,2787,https://api.github.com/repos/graphhopper/graphhopper
0,44134,7637,https://api.github.com/repos/grpc/grpc-java
0,10632,18153,https://api.github.com/repos/google/gson
0,287571,38030,https://api.github.com/repos/google/guava
0,72285,9442,https://api.github.com/repos/google/guice
0,103768,508,https://api.github.com/repos/hazelcast/hazelcast-jet
0,19343,64,https://api.github.com/repos/hazelcast/hazelcast-simulator
0,216887,3811,https://api.github.com/repos/hazelcast/hazelcast
0,31202,291,https://api.github.com/repos/eclipse/hono
0,7027,1069,https://api.github.com/repos/JetBrains/idea-gitignore
0,78465,4093,https://api.github.com/repos/apache/incubator-dolphinscheduler
0,14828,22716,https://api.github.com/repos/skylot/jadx
0,5801,4388,https://api.github.com/repos/bytedeco/javacv
0,10898,4454,https://api.github.com/repos/JodaOrg/joda-time
0,3614,8031,https://api.github.com/repos/jhy/jsoup
0,23915,7907,https://api.github.com/repos/junit-team/junit4
0,28649,158,https://api.github.com/repos/eclipse/kapua
0,18347,3365,https://api.github.com/repos/intuit/karate
0,9132,4670,https://api.github.com/repos/EsotericSoftware/kryo
0,178872,334,https://api.github.com/repos/eclipse/kura
0,89957,24976,https://api.github.com/repos/square/leakcanary
0,9440,91,https://api.github.com/repos/eclipse/lemminx
0,1074176,17137,https://api.github.com/repos/libgdx/libgdx
0,134228,29193,https://api.github.com/repos/airbnb/lottie-android
0,54071,831,https://api.github.com/repos/mapsforge/mapsforge
0,56876,3110,https://api.github.com/repos/reactor/reactor-core
0,46374,10752,https://api.github.com/repos/mockito/mockito
0,2360,6365,https://api.github.com/repos/square/moshi
0,103063,13844,https://api.github.com/repos/mybatis/mybatis-3
0,82669,21,https://api.github.com/repos/eclipse/n4js
0,62682,24071,https://api.github.com/repos/netty/netty
0,36064,37604,https://api.github.com/repos/square/okhttp
0,10537,763,https://api.github.com/repos/DiUS/pact-jvm
0,227345,10529,https://api.github.com/repos/naver/pinpoint
0,315714,2925,https://api.github.com/repos/pmd/pmd
0,5867,3144,https://api.github.com/repos/powermock/powermock
0,380476,5748,https://api.github.com/repos/apache/pulsar
0,60260,10945,https://api.github.com/repos/realm/realm-java
0,14561,13635,https://api.github.com/repos/redisson/redisson
0,2928,2994,https://api.github.com/repos/requery/requery
0,584466,615,https://api.github.com/repos/restlet/restlet-framework-java
0,350260,11552,https://api.github.com/repos/apache/shardingsphere
0,7581,1351,https://api.github.com/repos/Automattic/simplenote-android
0,153610,13924,https://api.github.com/repos/apache/skywalking
0,26158,1839,https://api.github.com/repos/speedment/speedment
0,26495,938,https://api.github.com/repos/INRIA/spoon
0,92333,1595,https://api.github.com/repos/spring-projects/spring-batch
0,119778,49052,https://api.github.com/repos/spring-projects/spring-boot
0,157320,38132,https://api.github.com/repos/spring-projects/spring-framework
0,7166,4145,https://api.github.com/repos/spring-projects/spring-security-oauth
0,45399,4990,https://api.github.com/repos/spring-projects/spring-security
0,21311,1508,https://api.github.com/repos/spring-projects/spring-session
0,30907,640,https://api.github.com/repos/yegor256/takes
0,4707,3932,https://api.github.com/repos/testcontainers/testcontainers-java
